City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,49,20,34,0.6,9,66,97,4
阿克苏地区,85,22,118,0.45,10,99,107,6
阿拉善盟,66,18,33,0.47,20,91,117,8
阿勒泰地区,28,6,27,0.2,13,47,42,6
阿里地区,61,14,41,0.5,9,113,112,6
安康,83,35,114,0.73,34,70,121,9
安庆,59,33,65,0.52,29,68,92,6
鞍山,53,22,54,0.67,31,52,65,9
安顺,62,30,42,0.53,10,78,113,13
安阳,126,66,199,0.86,43,93,137,11
白城,49,22,37,0.4,16,78,97,11
百色,72,52,80,1.0,11,80,99,13
白山,48,15,32,0.9,13,77,95,27
白银,72,30,92,0.5,11,104,110,55
保定,86,47,120,0.9,43,81,121,31
宝鸡,104,67,155,0.89,45,113,146,8
保山,60,31,56,0.6,12,95,110,5
包头,52,13,52,0.58,35,51,94,8
巴彦淖尔,64,21,59,0.57,24,79,115,9
巴中,80,50,97,0.93,73,55,134,7
北海,27,12,24,0.57,15,38,53,7
北京,81,35,109,0.53,33,72,90,5
蚌埠,120,90,142,0.85,42,70,112,19
本溪,57,32,62,0.87,44,27,59,10
毕节,85,36,68,0.7,21,117,140,12
滨州,76,49,99,1.0,33,75,127,13
博州,53,7,22,0.5,10,102,102,6
亳州,106,79,154,0.7,22,112,152,7
沧州,71,42,90,0.63,49,58,105,14
长春,54,29,55,0.7,47,37,71,11
常德,88,50,96,0.96,33,111,144,16
昌都,45,14,0,0.3,10,87,88,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,37,10,18,0.33,13,64,73,12
长沙,79,41,94,0.96,68,59,133,8
常熟,117,79,182,1.03,44,87,143,17
长治,95,42,138,0.7,22,129,136,12
常州,111,83,135,1.01,46,79,100,16
朝阳,42,16,26,0.57,12,71,82,14
潮州,69,47,85,1.3,30,50,99,15
承德,90,34,127,0.85,56,35,78,14
成都,99,37,82,0.97,75,75,157,9
郴州,61,29,69,1.22,44,40,94,9
赤峰,40,14,39,0.53,24,62,72,12
池州,70,34,69,0.63,60,57,122,5
重庆,65,36,74,0.87,58,66,116,9
崇左,67,48,79,0.85,21,58,97,4
楚雄州,71,27,46,0.7,10,117,123,16
滁州,105,78,140,0.83,25,116,125,14
大连,52,16,51,0.51,39,63,86,6
大理州,55,22,49,0.75,10,96,104,4
丹东,45,14,41,0.57,12,87,89,14
大庆,41,18,26,0.38,16,70,80,4
大同,60,14,67,0.6,18,65,94,17
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,44,23,22,0.6,16,71,86,20
达州,110,70,167,1.66,109,9,98,8
德宏州,57,34,52,0.75,13,83,107,4
德阳,104,26,70,0.9,59,93,163,10
德州,129,93,206,1.13,43,116,160,14
定西,73,22,93,0.35,16,115,126,2
迪庆州,58,18,27,0.75,7,95,108,5
东莞,55,22,48,0.7,37,45,104,7
东营,82,37,112,0.6,28,91,113,12
鄂尔多斯,57,13,49,0.56,37,76,107,8
恩施州,64,26,75,1.1,74,30,108,9
鄂州,77,49,102,0.9,59,80,131,14
防城港,30,16,29,0.7,13,46,42,5
佛山,52,28,51,0.74,46,29,83,8
抚顺,55,31,58,0.72,30,56,71,17
阜新,44,16,28,0.36,11,79,87,8
阜阳,127,96,181,1.13,28,103,139,9
富阳,0,0,0,0.0,0,0,0,0
福州,83,40,114,1.17,62,29,71,5
抚州,65,46,63,1.2,25,57,94,7
甘南州,96,33,140,0.9,16,126,117,10
赣州,75,48,98,1.96,55,30,109,7
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,43,19,40,0.75,30,71,85,17
广安,78,40,100,1.2,84,49,132,13
广元,76,28,46,0.5,25,102,130,9
广州,61,25,50,0.79,58,34,112,6
贵港,75,54,83,0.78,24,42,76,8
桂林,76,55,80,1.05,31,70,104,7
贵阳,59,27,55,0.59,28,76,109,7
果洛州,57,15,18,0.2,8,66,107,14
固原,110,33,167,0.67,26,99,116,10
哈尔滨,36,25,34,0.7,55,34,66,17
海北州,68,21,63,0.7,14,114,120,26
海东地区,97,45,142,1.0,40,90,115,10
海口,29,11,19,0.46,20,34,56,4
海门,65,46,69,0.75,20,85,101,10
海南州,66,19,51,0.5,20,97,117,10
海西州,54,16,56,0.5,20,78,94,9
哈密地区,45,6,24,0.55,21,77,88,15
邯郸,116,43,179,0.75,57,85,146,18
杭州,74,49,96,0.86,75,54,126,11
汉中,86,39,80,1.05,51,73,141,13
鹤壁,109,48,166,0.47,32,113,131,11
河池,67,48,59,0.8,20,61,95,7
合肥,113,67,174,1.14,80,76,144,7
鹤岗,63,32,74,0.7,23,37,66,4
黑河,43,13,25,0.4,8,78,85,7
衡水,99,67,145,0.7,44,117,152,15
衡阳,71,48,89,1.17,58,37,91,13
和田地区,119,48,185,0.25,20,107,116,4
河源,74,53,73,1.27,38,63,100,5
菏泽,154,116,255,1.1,31,119,142,20
贺州,74,53,72,1.3,32,52,93,13
红河州,97,72,84,0.75,12,104,121,13
淮安,86,63,104,0.84,24,100,112,4
淮北,88,60,123,1.03,16,92,142,9
怀化,64,33,75,1.22,51,35,103,7
淮南,141,105,229,0.98,33,95,138,11
黄冈,75,43,88,1.05,39,97,128,12
黄南州,96,39,139,0.7,6,107,102,12
黄山,63,42,73,0.8,45,50,108,11
黄石,77,40,78,1.08,33,114,131,17
呼和浩特,61,11,70,0.64,22,73,91,9
惠州,60,27,68,0.74,44,45,97,5
葫芦岛,60,33,67,0.8,45,46,89,68
呼伦贝尔,44,23,27,0.3,11,73,86,2
湖州,74,53,90,0.95,78,63,103,14
佳木斯,36,22,31,0.76,24,46,70,5
吉安,66,40,80,0.88,47,46,112,40
江门,42,19,41,0.78,29,18,51,8
江阴,119,89,125,2.2,68,56,129,30
胶南,53,14,39,0.6,12,93,102,2
胶州,60,16,68,0.3,63,52,90,11
焦作,119,69,186,1.15,32,124,147,18
嘉兴,87,60,122,1.17,87,57,140,12
嘉峪关,77,15,32,0.9,21,111,131,19
揭阳,59,27,66,1.1,26,46,82,8
吉林,48,20,44,0.61,19,75,94,7
即墨,61,16,59,0.45,19,91,111,7
济南,148,109,243,1.48,78,86,133,19
金昌,70,13,35,0.5,7,107,122,4
晋城,139,64,225,1.13,30,166,183,23
景德镇,72,45,92,0.84,35,44,107,16
荆门,76,39,98,0.72,31,92,130,13
荆州,79,33,69,0.7,30,96,133,11
金华,84,44,116,1.07,83,47,129,12
济宁,156,118,175,1.33,29,144,171,29
金坛,153,116,154,1.25,37,99,159,57
晋中,102,58,152,1.78,118,23,116,31
锦州,52,23,51,0.8,28,60,79,22
九江,72,48,91,0.73,26,105,120,18
酒泉,75,20,67,0.5,26,102,128,7
鸡西,34,12,23,0.48,13,61,67,3
句容,115,83,178,1.35,52,69,138,6
开封,113,69,173,0.86,30,116,134,18
喀什地区,79,21,58,0.6,20,125,133,7
克拉玛依,49,3,30,0.33,7,97,96,4
克州,82,6,44,0.7,2,136,137,7
库尔勒,55,14,58,0.4,12,84,85,5
昆明,58,37,60,0.83,25,94,108,11
昆山,126,95,148,1.15,37,95,137,10
来宾,96,71,130,1.4,42,24,82,14
莱芜,88,65,99,0.67,18,89,77,10
莱西,64,27,75,0.5,12,87,91,5
莱州,70,13,39,0.8,22,89,122,7
廊坊,67,33,81,0.63,37,78,95,8
兰州,91,36,129,0.48,18,107,119,6
拉萨,84,24,115,0.57,17,83,90,3
乐山,88,34,63,0.78,52,112,144,7
凉山州,81,18,36,0.56,15,131,136,17
连云港,52,19,51,0.68,24,86,94,9
聊城,168,127,277,1.53,80,72,147,34
辽阳,66,47,70,0.68,56,23,59,22
辽源,45,14,21,0.6,14,74,89,9
丽江,54,4,27,0.47,10,91,103,5
临安,133,70,213,1.0,127,38,106,11
临沧,98,73,0,0.9,17,115,136,13
临汾,114,70,175,2.25,66,84,130,40
